Year,ภาคเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออก,ภาคกลาง,ภาคใต้,รวม
2516,"70,996,875.00","31,669,375.00","9,397,500.00","14,981,250.00","11,521,875.00","138,566,875.00"
2519,"63,954,375.00","25,933,750.00","7,894,375.00","13,641,250.00","12,586,875.00","124,010,625.00"
2521,"59,335,625.00","19,513,125.00","6,898,125.00","12,766,250.00","11,001,875.00","109,515,000.00"
2525,"54,847,500.00","16,178,750.00","5,000,000.00","11,572,500.00","10,276,250.00","97,875,000.00"
2528,"52,578,750.00","15,987,500.00","4,993,750.00","11,053,125.00","9,678,125.00","94,291,250.00"
2531,"50,251,250.00","14,808,125.00","4,896,250.00","10,777,500.00","9,143,750.00","89,876,875.00"
2532,"50,138,750.00","14,741,250.00","4,866,250.00","10,764,375.00","9,125,000.00","89,635,625.00"
2534,"48,214,375.00","13,624,375.00","4,806,875.00","10,385,000.00","8,405,625.00","85,436,250.00"
2536,"47,019,375.00","13,420,625.00","4,771,250.00","10,255,000.00","8,005,000.00","83,471,250.00"
2538,"46,178,750.00","13,290,625.00","4,744,375.00","10,180,000.00","7,784,375.00","82,178,125.00"
2541,"45,662,625.00","13,115,000.00","4,691,875.00","10,030,625.00","7,578,125.00","81,076,250.00"
2543,"60,168,926.72","16,579,338.12","5,273,927.01","13,413,654.05","10,883,393.57","106,319,239.47"
2547,"57,542,765.00","17,559,806.00","5,150,204.00","13,277,026.00","11,214,559.00","104,744,360.00"
2548,"55,863,118.75","15,834,125.00","4,959,887.50","12,924,112.50","11,044,568.75","100,625,812.50"
2549,"55,230,068.75","15,343,675.00","4,927,262.50","12,846,918.75","10,809,943.75","99,157,868.75"
2551,"59,421,715.33","17,222,213.98","5,020,875.00","13,892,232.01","11,683,995.69","107,241,031.25"
2556,"56,283,600.00","15,813,931.25","5,139,025.00","13,832,637.50","11,050,350.00","102,119,537.50"
2557,"56,537,481.25","15,748,931.25","5,076,312.50","13,863,193.75","11,059,475.00","102,285,400.00"
2558,"56,496,886.23","15,660,166.45","5,091,779.16","13,918,144.83","11,074,005.17","102,240,981.88"
รวม,"107,489,799.49","104,823,709.24","22,889,386.44","42,154,901.40","46,154,901.40","323,528,699.67"
